Age,Gender,Sugar Intake (g/day),Workout Duration (minutes/day),Group
24,Male,34.3,69.3,Athlete
31,Female,16.9,87.7,Athlete
33,Male,23.2,58.3,Athlete
32,Male,24.7,131.8,Athlete
29,Female,31.5,106.4,Athlete
26,Female,15.7,89.7,Athlete
25,Female,27.1,83.1,Athlete
35,Female,20.5,78.0,Athlete
35,Female,28.1,50.7,Athlete
30,Male,20.5,55.3,Athlete
35,Male,32.9,128.0,Athlete
32,Male,20.5,121.5,Athlete
21,Female,12.7,78.5,Athlete
34,Male,21.1,108.2,Athlete
22,Female,23.7,100.1,Athlete
39,Female,30.4,102.5,Athlete
33,Male,18.7,61.5,Athlete
26,Male,18.8,53.8,Athlete
27,Female,29.8,113.7,Athlete
35,Male,18.1,50.4,Athlete
34,Female,24.1,87.0,Athlete
35,Male,24.2,82.6,Athlete
24,Male,26.1,80.8,Athlete
21,Male,21.3,96.3,Athlete
22,Male,20.4,76.4,Athlete
33,Male,26.7,97.9,Athlete
20,Female,20.5,92.8,Athlete
35,Male,18.2,132.0,Athlete
38,Male,31.1,62.3,Athlete
31,Male,27.4,90.6,Athlete
32,Female,33.8,98.6,Athlete
34,Female,28.9,84.9,Athlete
18,Female,18.7,63.3,Athlete
38,Female,25.5,115.1,Athlete
34,Female,19.9,96.7,Athlete
28,Male,16.7,64.7,Athlete
34,Male,22.8,98.8,Athlete
31,Male,29.9,124.0,Athlete
37,Female,26.4,89.3,Athlete
36,Female,18.0,90.0,Athlete
38,Male,22.6,121.4,Athlete
24,Female,24.3,70.6,Athlete
30,Female,16.6,124.6,Athlete
35,Female,28.6,109.5,Athlete
31,Male,23.9,71.5,Athlete
18,Male,18.0,76.6,Athlete
24,Female,17.8,79.5,Athlete
25,Female,30.5,53.3,Athlete
35,Female,23.1,95.2,Athlete
26,Female,31.0,72.4,Athlete
18,Male,32.9,95.9,Athlete
39,Female,30.1,64.2,Athlete
34,Male,22.3,108.5,Athlete
36,Male,12.5,104.8,Athlete
23,Male,26.6,75.9,Athlete
20,Female,35.5,97.2,Athlete
22,Male,24.8,91.7,Athlete
19,Male,15.1,119.6,Athlete
37,Female,21.6,69.4,Athlete
21,Female,24.1,87.0,Athlete
27,Female,19.5,77.2,Athlete
27,Male,12.2,90.9,Athlete
38,Female,24.5,100.7,Athlete
28,Male,21.1,77.0,Athlete
33,Male,33.9,82.7,Athlete
34,Female,25.5,109.3,Athlete
33,Male,27.3,117.1,Athlete
24,Male,24.4,99.9,Athlete
33,Male,25.5,87.2,Athlete
20,Male,16.7,85.3,Athlete
33,Female,19.8,101.0,Athlete
25,Male,30.4,94.6,Athlete
29,Female,26.0,57.0,Athlete
20,Male,23.0,101.4,Athlete
34,Male,27.4,72.8,Athlete
38,Female,27.5,61.7,Athlete
35,Male,35.0,56.6,Athlete
28,Male,25.8,85.7,Athlete
21,Male,19.7,69.7,Athlete
33,Male,24.4,43.5,Athlete
34,Male,28.0,82.8,Athlete
26,Male,30.0,80.2,Athlete
23,Female,16.9,87.0,Athlete
37,Female,26.3,77.4,Athlete
19,Female,20.5,126.6,Athlete
26,Male,22.2,100.3,Athlete
38,Male,29.2,80.0,Athlete
23,Male,28.7,88.7,Athlete
20,Female,21.6,118.3,Athlete
37,Male,24.2,109.1,Athlete
23,Female,22.3,62.1,Athlete
24,Male,39.5,70.5,Athlete
18,Male,26.4,74.4,Athlete
18,Male,20.8,81.2,Athlete
22,Female,31.6,78.1,Athlete
23,Male,31.8,90.7,Athlete
30,Female,34.0,104.7,Athlete
19,Male,35.4,108.1,Athlete
32,Male,28.5,83.5,Athlete
32,Female,23.3,57.3,Athlete
30,Male,24.0,69.2,Athlete
31,Male,23.5,79.6,Athlete
39,Male,23.0,65.1,Athlete
24,Male,31.2,112.8,Athlete
31,Female,25.0,66.4,Athlete
27,Female,29.9,102.3,Athlete
34,Male,28.4,56.4,Athlete
31,Male,19.5,103.1,Athlete
25,Female,16.4,87.2,Athlete
21,Male,18.8,120.3,Athlete
33,Female,22.9,67.4,Athlete
30,Male,25.7,78.7,Athlete
39,Female,21.8,82.6,Athlete
37,Female,28.5,86.9,Athlete
35,Female,22.4,83.1,Athlete
31,Female,26.3,83.5,Athlete
35,Male,25.6,83.1,Athlete
22,Male,33.7,48.6,Athlete
26,Female,20.1,109.9,Athlete
20,Female,36.0,147.2,Athlete
25,Female,22.0,96.0,Athlete
37,Female,18.3,67.3,Athlete
39,Male,23.9,69.3,Athlete
27,Female,41.2,102.3,Athlete
39,Female,29.5,97.7,Athlete
36,Female,28.0,84.3,Athlete
38,Female,29.0,105.1,Athlete
20,Female,21.2,48.7,Athlete
28,Female,26.6,105.1,Athlete
28,Female,25.0,94.8,Athlete
34,Male,34.0,70.1,Athlete
33,Female,24.5,61.3,Athlete
24,Female,23.1,92.4,Athlete
21,Female,19.2,118.1,Athlete
36,Male,25.7,85.4,Athlete
29,Male,26.5,72.9,Athlete
32,Male,19.0,93.8,Athlete
28,Female,27.3,126.4,Athlete
22,Female,26.2,98.6,Athlete
22,Female,30.1,100.8,Athlete
32,Male,31.1,114.5,Athlete
35,Female,25.5,99.5,Athlete
28,Male,19.8,74.4,Athlete
29,Male,20.8,55.1,Athlete
19,Male,33.8,71.6,Athlete
37,Male,25.8,67.9,Athlete
32,Male,33.7,103.2,Athlete
37,Female,27.5,106.0,Athlete
21,Female,28.8,93.5,Athlete
39,Male,29.7,64.6,Athlete
35,Female,18.9,125.7,Athlete
23,Female,26.5,81.7,Athlete
36,Male,18.8,102.1,Athlete
28,Male,23.6,91.0,Athlete
19,Female,28.2,94.2,Athlete
25,Female,19.9,101.4,Athlete
28,Female,27.8,76.1,Athlete
22,Female,17.5,116.1,Athlete
35,Male,30.7,58.4,Athlete
35,Female,21.7,69.2,Athlete
31,Male,19.9,115.8,Athlete
39,Male,17.8,101.8,Athlete
27,Female,22.1,140.8,Athlete
20,Female,15.5,91.4,Athlete
26,Female,22.3,124.0,Athlete
20,Male,30.5,52.9,Athlete
28,Male,24.1,61.7,Athlete
29,Male,19.1,107.9,Athlete
29,Male,26.1,55.2,Athlete
20,Female,25.7,86.1,Athlete
38,Male,34.8,113.3,Athlete
24,Male,29.0,100.0,Athlete
31,Female,26.5,90.2,Athlete
28,Male,29.5,81.0,Athlete
24,Male,24.3,94.0,Athlete
38,Female,24.6,101.5,Athlete
27,Male,33.3,76.8,Athlete
28,Male,16.8,97.4,Athlete
32,Male,29.8,111.6,Athlete
36,Male,24.4,85.6,Athlete
33,Female,23.5,91.4,Athlete
39,Male,22.2,99.7,Athlete
38,Female,25.8,101.0,Athlete
37,Male,24.8,107.6,Athlete
29,Female,22.9,69.7,Athlete
35,Female,21.5,79.4,Athlete
30,Female,15.5,80.2,Athlete
22,Male,21.4,71.9,Athlete
21,Male,22.4,54.0,Athlete
31,Male,25.8,24.9,Athlete
25,Female,34.8,113.9,Athlete
26,Male,21.9,58.9,Athlete
36,Male,19.9,121.3,Athlete
20,Male,21.4,104.8,Athlete
22,Male,25.8,81.9,Athlete
38,Female,27.9,102.3,Athlete
35,Female,28.6,98.5,Athlete
18,Male,29.1,68.0,Athlete
25,Male,29.8,89.7,Athlete
36,Male,23.6,70.4,Athlete
34,Female,35.3,103.1,Athlete
34,Male,23.2,75.7,Athlete
28,Female,25.5,88.1,Athlete
19,Female,31.5,87.2,Athlete
23,Male,27.8,92.4,Athlete
39,Male,13.8,123.3,Athlete
31,Male,25.0,85.2,Athlete
20,Female,29.3,114.4,Athlete
29,Female,18.3,99.6,Athlete
21,Male,28.8,118.4,Athlete
29,Female,27.0,83.2,Athlete
30,Male,30.9,103.9,Athlete
19,Male,21.5,88.8,Athlete
19,Female,30.0,30.2,Athlete
32,Female,25.8,68.2,Athlete
34,Female,33.8,101.6,Athlete
24,Female,38.9,100.3,Athlete
31,Male,32.7,64.1,Athlete
29,Male,27.4,94.4,Athlete
34,Male,36.6,100.1,Athlete
31,Female,28.0,89.3,Athlete
23,Male,20.5,104.6,Athlete
36,Female,24.8,101.9,Athlete
23,Female,28.8,89.3,Athlete
35,Female,29.1,79.8,Athlete
22,Male,19.4,110.9,Athlete
23,Female,19.5,99.3,Athlete
19,Female,23.3,62.4,Athlete
25,Female,27.7,94.4,Athlete
32,Female,28.3,67.0,Athlete
32,Female,25.7,70.7,Athlete
28,Female,20.8,77.0,Athlete
39,Female,33.7,90.9,Athlete
39,Female,19.6,97.5,Athlete
18,Female,31.5,81.8,Athlete
35,Female,28.7,82.7,Athlete
29,Female,31.4,79.9,Athlete
29,Female,22.8,111.0,Athlete
28,Male,24.3,32.9,Athlete
25,Male,25.3,83.8,Athlete
24,Female,22.6,120.9,Athlete
38,Female,26.1,100.3,Athlete
19,Female,32.9,115.3,Athlete
28,Male,18.5,49.3,Athlete
39,Male,21.7,65.2,Athlete
27,Male,21.2,100.3,Athlete
20,Female,24.5,121.0,Athlete
46,Female,32.9,6.7,Normal
59,Female,44.2,40.0,Normal
45,Female,56.0,28.0,Normal
35,Male,28.2,18.2,Normal
31,Female,57.8,1.1,Normal
35,Male,9.9,39.2,Normal
45,Male,57.4,43.1,Normal
41,Female,35.1,50.1,Normal
25,Male,43.3,47.6,Normal
59,Male,59.8,18.4,Normal
25,Male,56.7,49.4,Normal
21,Male,49.9,50.9,Normal
44,Female,64.5,26.1,Normal
53,Female,24.5,30.4,Normal
22,Male,53.1,16.0,Normal
50,Female,38.1,52.2,Normal
51,Male,63.8,7.3,Normal
47,Female,60.3,38.0,Normal
25,Female,60.9,21.0,Normal
56,Female,74.7,13.4,Normal
43,Female,66.9,1.9,Normal
54,Female,47.6,26.8,Normal
51,Male,50.0,11.0,Normal
24,Female,59.0,30.8,Normal
57,Male,52.0,56.5,Normal
45,Male,60.6,33.0,Normal
56,Female,16.5,60.0,Normal
56,Male,78.2,15.3,Normal
45,Female,50.9,10.8,Normal
31,Male,25.7,14.6,Normal
55,Male,36.3,29.0,Normal
21,Female,18.1,70.8,Normal
59,Female,33.6,5.1,Normal
35,Female,47.9,39.3,Normal
42,Female,72.7,19.5,Normal
24,Male,56.2,26.6,Normal
55,Female,53.5,11.1,Normal
45,Male,33.0,43.2,Normal
22,Male,37.6,29.3,Normal
20,Male,38.8,46.3,Normal
48,Male,39.4,32.6,Normal
59,Male,44.7,1.0,Normal
37,Male,45.9,46.4,Normal
36,Female,44.9,-0.2,Normal
28,Male,39.9,2.0,Normal
57,Male,52.0,16.2,Normal
20,Male,45.3,16.4,Normal
40,Female,26.1,50.9,Normal
24,Female,50.5,27.4,Normal
40,Male,48.2,48.7,Normal
24,Female,26.3,21.5,Normal
51,Male,41.1,34.8,Normal
59,Female,59.0,37.1,Normal
36,Male,33.0,40.4,Normal
26,Female,31.4,23.0,Normal
35,Female,45.1,24.3,Normal
58,Female,59.3,25.5,Normal
59,Male,77.2,5.2,Normal
42,Male,59.9,28.7,Normal
31,Male,66.3,24.2,Normal
42,Female,55.2,38.7,Normal
36,Female,39.7,31.4,Normal
56,Male,59.8,50.0,Normal
32,Female,48.7,31.1,Normal
33,Male,55.7,21.6,Normal
44,Male,35.8,30.9,Normal
57,Male,57.0,40.9,Normal
27,Male,48.2,3.4,Normal
21,Female,53.5,19.3,Normal
36,Female,48.7,19.6,Normal
45,Female,45.8,36.2,Normal
38,Male,57.3,37.9,Normal
31,Female,43.9,31.5,Normal
50,Male,26.2,-7.2,Normal
27,Male,21.9,5.2,Normal
36,Male,52.8,26.4,Normal
47,Male,43.3,22.5,Normal
39,Male,24.1,30.1,Normal
20,Male,51.6,23.0,Normal
54,Female,48.6,53.0,Normal
58,Female,42.5,-4.4,Normal
35,Female,53.7,34.5,Normal
28,Female,69.7,42.4,Normal
19,Male,69.3,40.5,Normal
29,Male,52.2,41.8,Normal
23,Female,48.7,44.0,Normal
57,Female,52.4,20.9,Normal
46,Female,54.6,13.5,Normal
47,Female,46.0,-0.5,Normal
19,Female,52.6,24.6,Normal
26,Female,26.4,18.3,Normal
19,Female,51.2,47.4,Normal
46,Female,57.2,25.7,Normal
50,Male,42.7,14.5,Normal
27,Male,48.6,12.2,Normal
51,Male,33.3,59.8,Normal
25,Male,31.2,29.7,Normal
54,Female,53.2,18.3,Normal
50,Male,39.1,31.9,Normal
23,Female,23.3,58.5,Normal
57,Male,33.3,24.2,Normal
36,Female,35.5,40.3,Normal
49,Female,61.6,47.8,Normal
44,Male,52.7,1.6,Normal
18,Male,36.9,20.4,Normal
50,Female,41.2,45.9,Normal
57,Female,69.7,19.5,Normal
49,Female,64.0,36.2,Normal
22,Male,33.2,18.6,Normal
34,Male,67.5,23.3,Normal
25,Female,48.8,21.5,Normal
59,Male,62.0,39.6,Normal
51,Female,47.6,33.0,Normal
26,Male,67.8,31.5,Normal
40,Male,32.6,67.6,Normal
52,Male,46.2,56.1,Normal
24,Male,68.2,0.3,Normal
32,Male,14.1,23.3,Normal
37,Female,49.3,66.4,Normal
42,Female,44.1,21.4,Normal
20,Male,60.3,61.3,Normal
41,Female,66.0,23.6,Normal
51,Female,61.0,26.5,Normal
39,Male,53.6,43.0,Normal
28,Female,50.6,28.6,Normal
25,Male,44.9,37.4,Normal
56,Female,53.1,53.6,Normal
52,Female,71.9,41.4,Normal
55,Female,37.5,32.1,Normal
25,Female,44.0,55.1,Normal
54,Female,48.9,43.2,Normal
44,Female,65.0,19.0,Normal
45,Female,53.3,59.7,Normal
57,Male,64.8,39.6,Normal
51,Male,65.5,26.8,Normal
49,Male,58.9,-0.3,Normal
32,Male,34.0,9.3,Normal
34,Female,74.9,55.5,Normal
50,Female,71.2,56.1,Normal
33,Female,51.0,31.3,Normal
46,Male,29.3,3.4,Normal
26,Male,26.6,13.7,Normal
50,Male,53.8,5.6,Normal
46,Female,39.5,5.1,Normal
30,Male,24.2,60.4,Normal
38,Female,26.3,60.9,Normal
38,Male,43.0,13.2,Normal
22,Female,52.9,29.9,Normal
27,Male,71.1,10.7,Normal
23,Female,57.3,29.8,Normal
30,Male,44.3,54.6,Normal
18,Male,55.7,46.2,Normal
37,Female,54.4,42.1,Normal
25,Female,61.1,27.1,Normal
27,Male,49.4,48.9,Normal
26,Female,65.5,39.7,Normal
58,Male,62.4,36.1,Normal
20,Female,51.2,28.3,Normal
28,Male,48.2,34.8,Normal
29,Female,63.8,34.3,Normal
27,Male,39.3,21.9,Normal
42,Male,27.4,18.4,Normal
42,Male,27.3,15.0,Normal
28,Female,38.1,16.0,Normal
53,Male,59.9,27.2,Normal
56,Female,43.7,24.7,Normal
43,Female,53.1,20.7,Normal
31,Female,42.6,19.6,Normal
56,Male,42.7,34.4,Normal
57,Female,34.6,50.7,Normal
18,Female,48.6,29.8,Normal
21,Female,47.4,28.9,Normal
47,Male,56.2,16.0,Normal
29,Female,54.3,26.7,Normal
52,Female,47.0,47.9,Normal
30,Female,27.4,45.6,Normal
48,Female,66.1,44.5,Normal
55,Male,48.7,44.0,Normal
40,Male,51.2,36.6,Normal
21,Female,74.0,36.0,Normal
33,Female,63.6,33.7,Normal
24,Female,56.7,23.7,Normal
39,Female,50.0,31.3,Normal
46,Male,49.8,33.2,Normal
28,Male,53.6,39.5,Normal
50,Male,56.1,31.5,Normal
46,Male,75.7,61.6,Normal
56,Female,87.1,11.9,Normal
29,Female,54.4,41.3,Normal
24,Male,17.7,29.4,Normal
56,Male,35.7,30.0,Normal
59,Female,77.2,17.8,Normal
43,Female,60.8,45.3,Normal
57,Female,56.4,39.8,Normal
26,Female,47.5,42.5,Normal
58,Female,32.2,32.5,Normal
51,Male,75.2,25.1,Normal
30,Male,37.7,29.0,Normal
53,Female,60.9,36.5,Normal
42,Female,30.5,-0.1,Normal
41,Male,46.8,43.1,Normal
34,Female,64.9,66.4,Normal
19,Male,46.3,37.2,Normal
30,Male,44.5,25.8,Normal
48,Male,50.2,27.6,Normal
46,Male,30.0,40.6,Normal
45,Female,27.1,26.1,Normal
44,Female,60.7,43.0,Normal
32,Male,43.7,27.4,Normal
48,Female,60.6,55.7,Normal
57,Female,66.8,55.3,Normal
32,Female,68.0,25.0,Normal
50,Female,25.7,28.8,Normal
37,Male,39.5,29.7,Normal
59,Female,58.1,29.9,Normal
29,Male,58.3,15.8,Normal
54,Male,83.7,13.7,Normal
26,Female,36.4,48.7,Normal
40,Male,67.5,46.3,Normal
25,Female,55.6,46.1,Normal
49,Female,25.4,29.0,Normal
31,Male,41.8,58.4,Normal
44,Female,53.9,29.7,Normal
42,Male,24.4,42.9,Normal
30,Male,18.9,9.2,Normal
38,Female,23.6,26.6,Normal
48,Female,53.9,27.7,Normal
54,Female,42.7,29.0,Normal
22,Male,40.7,10.1,Normal
30,Female,41.2,40.6,Normal
45,Male,28.6,45.4,Normal
42,Male,43.2,18.8,Normal
52,Female,22.7,12.8,Normal
56,Female,67.8,18.5,Normal
24,Female,75.4,37.4,Normal
55,Male,15.1,21.1,Normal
49,Female,43.0,28.0,Normal
20,Male,43.9,13.9,Normal
56,Female,47.4,59.7,Normal
54,Female,65.0,31.1,Normal
39,Male,43.0,47.2,Normal
25,Male,48.7,37.4,Normal
34,Female,94.7,29.4,Normal
44,Female,48.3,28.6,Normal
50,Female,76.5,19.1,Normal
34,Female,57.5,23.2,Normal
59,Female,41.7,14.9,Normal
29,Male,39.2,13.2,Normal
44,Male,49.9,61.3,Normal
25,Male,33.1,34.2,Normal
40,Male,37.0,52.0,Normal
59,Female,43.7,18.1,Normal
46,Male,54.4,11.2,Normal
37,Male,77.4,15.3,Normal
33,Male,42.7,23.7,Normal
34,Female,56.9,30.5,Normal
33,Male,25.6,27.7,Normal
36,Female,65.9,18.4,Normal
25,Male,24.2,31.3,Normal
55,Female,62.0,32.6,Normal
55,Male,48.8,40.5,Normal
46,Female,48.2,52.1,Normal
58,Male,45.5,24.5,Normal
53,Female,30.5,48.2,Normal
43,Female,31.3,31.0,Normal
48,Male,62.5,7.1,Normal
29,Female,50.2,56.7,Normal
34,Female,45.4,64.1,Normal
32,Male,56.7,39.3,Normal
26,Male,51.5,31.3,Normal
56,Female,38.1,25.9,Normal
59,Male,86.9,23.0,Normal
29,Male,61.1,48.2,Normal
49,Male,51.9,29.7,Normal
42,Female,42.3,55.1,Normal
56,Female,64.3,30.5,Normal
35,Female,38.2,23.8,Normal
32,Female,36.9,21.0,Normal
49,Female,75.4,18.8,Normal
23,Female,50.5,37.7,Normal
52,Female,38.5,10.6,Normal
51,Male,50.1,17.7,Normal
55,Female,62.8,49.9,Normal
22,Female,59.3,15.7,Normal
35,Male,64.6,42.9,Normal
33,Male,31.3,-0.9,Normal
25,Male,64.2,51.8,Normal
42,Female,47.3,10.9,Normal
49,Male,51.3,16.9,Normal
