Age,Gender,Weight (kg),Carb Intake (g/day),Sugar Intake (g/day),Volume of Weights Lifted (kg/week)
22,Male,80.4,268.5,53.6,417.3263686357545
25,Female,53.5,225.2,69.0,0.0
63,Female,80.6,307.5,3.0,79.44918433828174
22,Male,61.5,163.1,26.9,248.4721078012863
41,Female,86.3,275.4,74.8,147.75142756703926
57,Female,100.8,163.6,58.0,326.6219974702469
43,Male,66.6,174.9,59.3,329.18368792318694
23,Female,58.8,336.1,68.6,192.23852504378127
33,Male,72.8,158.2,59.4,166.5779223425418
53,Female,71.8,279.3,52.9,207.613675245022
29,Female,82.9,198.4,72.3,85.29477408121895
28,Female,77.8,146.2,42.2,245.17559162742634
20,Female,71.4,128.5,49.7,72.9394671430804
61,Male,76.1,205.3,66.5,231.21693969734343
54,Male,61.5,143.8,34.7,6.160870535547825
23,Male,85.0,185.2,78.5,346.1222696983271
36,Male,94.4,104.8,55.8,155.93040334060197
35,Male,60.6,217.7,27.0,15.868097675713058
33,Female,56.0,122.9,46.1,49.38973559094812
40,Male,70.2,197.0,22.3,160.11673518835585
60,Female,60.3,130.8,51.7,58.51080578363102
54,Male,59.7,261.3,42.4,279.23778638635724
26,Male,58.2,94.5,32.7,166.31841743963125
20,Male,72.7,185.9,14.4,354.5539710840829
25,Male,70.1,228.0,34.2,179.31216642946902
55,Female,79.5,217.9,46.4,239.67215476355017
21,Male,68.2,137.7,42.6,199.10794739384272
29,Female,60.4,113.0,21.6,101.10640883386738
61,Female,74.8,239.1,50.4,38.83225666121404
48,Male,62.3,193.8,30.3,226.34615581442446
42,Female,81.1,146.4,68.4,187.70117648846767
33,Female,55.0,240.9,71.4,67.03871144880767
59,Male,49.0,171.9,44.9,191.08188045574659
31,Female,55.7,167.1,81.5,84.43189693364037
30,Male,70.0,156.7,47.2,412.9699138665812
58,Male,71.6,162.0,24.0,263.93079516694854
24,Female,76.6,160.2,73.7,138.1380408798388
29,Female,68.2,216.4,82.3,97.81118831808799
54,Female,64.8,277.5,69.9,214.12773944182234
21,Female,92.2,130.2,34.7,138.1421975297607
19,Female,89.0,182.9,25.3,155.34727492601695
52,Female,86.8,191.8,43.0,120.82361800274327
61,Female,78.7,223.2,99.5,36.11156560271456
20,Male,79.7,249.4,26.5,370.25277234750655
21,Male,65.3,192.0,66.4,291.67856755615
55,Male,76.7,168.1,48.1,197.09642022066706
29,Female,63.7,228.9,68.9,122.53429993614213
36,Female,62.4,118.0,24.8,59.62153731291272
27,Female,55.6,92.8,45.0,2.4501620831135837
18,Male,79.9,329.5,32.0,81.32508640733545
34,Male,77.0,159.6,33.2,323.4051039456566
33,Male,71.4,179.3,64.7,160.7455585661165
26,Female,69.8,227.2,27.6,269.8438806749478
26,Male,53.0,217.3,55.8,194.28663940218752
26,Male,78.1,244.3,51.1,85.12895171707152
29,Female,71.2,246.9,30.9,73.12151804000906
58,Male,85.8,127.9,35.2,223.50901029340787
32,Male,76.8,263.5,56.7,0.0
19,Male,83.5,225.5,49.5,104.82042327967517
28,Female,74.9,218.9,50.8,110.50728264211546
28,Male,77.2,221.1,45.3,341.61750248030097
25,Female,86.2,88.4,44.1,184.63368891635773
49,Female,72.7,189.5,49.6,142.9059755491615
23,Male,80.7,151.7,78.8,292.714488187293
37,Male,69.7,144.5,60.6,336.51955274819574
56,Female,73.4,175.6,47.4,135.49980015720038
52,Female,94.1,241.3,28.4,46.670652986101224
25,Female,82.7,214.4,41.6,184.4035691596644
60,Female,68.5,221.9,31.6,60.247368071880004
51,Female,80.1,177.7,34.1,0.0
36,Male,59.6,218.8,12.6,252.84501562379782
24,Female,72.3,190.0,49.8,213.9510220692255
48,Male,63.6,247.5,91.4,237.98349598655375
35,Female,80.4,234.8,53.9,172.40665936650439
57,Male,72.7,208.0,64.5,314.34726212311296
31,Female,78.4,159.9,69.2,53.589713805614295
56,Male,84.3,213.6,44.3,159.0477045844251
53,Male,69.5,212.1,45.6,26.70020379417826
34,Female,69.9,206.0,22.1,157.92254314370743
54,Female,74.6,176.2,53.9,219.87393477106536
61,Male,64.7,167.3,51.1,116.22440475739239
26,Male,74.9,216.1,32.9,328.23443478036256
37,Male,75.5,157.1,73.0,105.08441151279891
62,Female,77.7,187.4,34.5,200.658318042307
45,Female,80.0,229.3,106.9,0.0
37,Female,55.8,222.1,58.1,254.75738062952075
58,Female,59.6,142.1,49.6,42.19575417191892
53,Male,61.0,214.9,88.8,205.42042661302048
44,Female,76.1,301.6,4.3,243.61938444220334
25,Female,71.6,233.8,44.3,31.875729766401886
49,Female,47.8,186.3,41.3,290.9516610046985
18,Female,98.4,265.4,46.4,369.55105668749667
34,Female,51.1,310.0,54.5,227.9263472065403
26,Male,75.4,243.2,45.8,217.39718103501096
37,Female,81.8,113.4,78.0,107.80729940073948
62,Male,66.4,230.8,58.7,301.39366117390773
49,Female,82.7,267.4,59.7,192.657695879937
19,Female,62.9,96.8,59.2,0.0
49,Female,77.1,246.9,24.2,112.3490878941016
62,Female,48.8,189.8,54.0,86.2863995044901
26,Male,89.1,265.8,54.7,113.45962751567286
47,Male,75.0,196.4,27.5,107.68554939895274
37,Female,55.9,217.2,67.7,17.518387341474664
55,Male,82.5,218.0,9.3,430.36220445332077
18,Male,94.6,235.7,100.4,130.43773385074206
22,Female,63.9,222.4,49.2,148.84247347776537
52,Male,72.5,155.0,32.9,166.96243248090894
53,Male,68.8,186.8,62.4,132.57416318731856
18,Female,65.8,199.7,62.5,206.44447224008965
31,Female,64.5,261.5,90.9,95.11215927380717
26,Male,67.2,224.2,85.6,287.17836681292334
47,Female,67.9,167.1,23.4,296.32266427279126
41,Female,70.7,154.0,44.6,42.46720860323785
21,Female,69.9,232.7,31.8,169.38588292493532
31,Male,84.1,176.3,64.8,240.9359234811797
42,Female,83.1,237.7,78.3,30.258939021122682
21,Female,56.6,197.2,23.7,196.1023699500385
42,Male,67.9,273.0,48.7,185.5560832266378
27,Male,90.0,163.1,37.4,400.66048928759454
52,Male,78.5,271.9,66.9,306.4975097202278
24,Male,79.0,249.2,58.2,214.28371231621315
59,Male,77.9,178.0,73.5,162.31651503553292
30,Female,71.9,156.1,41.6,261.43606022671486
21,Male,74.5,296.4,47.7,125.23831752626482
60,Female,70.2,154.9,57.9,182.94179413337798
53,Male,85.3,215.3,44.6,176.3242552896546
31,Female,70.3,217.3,56.0,252.53108369417
35,Female,73.6,200.5,75.4,265.92341848965384
25,Male,83.8,239.1,92.7,282.9773293136366
49,Male,71.1,153.5,40.2,144.16725589781797
44,Male,74.2,296.7,93.0,190.41945401231254
59,Male,70.7,158.8,40.0,34.13773170363557
54,Male,73.9,192.8,67.4,260.83561323630653
40,Male,71.1,128.1,40.1,89.54433729600035
24,Female,68.6,252.3,29.4,327.80019955220064
29,Female,66.5,294.4,74.5,98.55442413342837
42,Female,72.9,300.4,49.0,262.2302648692631
20,Female,87.2,256.7,75.7,292.4673270028138
43,Female,82.5,181.4,65.0,249.52635317565748
21,Male,56.0,200.1,58.2,132.16676044757745
59,Male,69.9,183.9,61.0,124.41791678351167
53,Female,67.3,139.3,71.8,370.9696856404759
32,Female,56.3,185.2,68.5,359.9022309891559
49,Male,78.3,245.4,41.9,269.94797682907114
46,Male,73.8,156.7,58.5,141.84155422907074
27,Male,99.3,86.0,80.0,88.76816476483226
38,Male,71.0,137.3,50.9,115.15497511828823
33,Female,65.7,240.9,40.1,213.83412863586008
64,Female,64.5,114.1,37.6,331.46559617729946
36,Male,69.6,176.4,67.0,168.96501797041404
46,Male,82.1,180.8,45.2,399.4414623688034
35,Female,83.5,212.9,57.2,201.35793412397734
61,Female,110.1,211.7,44.2,107.54849514129965
33,Female,60.5,220.0,73.5,264.1180043800659
18,Male,76.0,192.6,53.0,348.37024642295864
19,Female,66.8,152.8,78.6,250.47027904501664
32,Male,79.2,245.1,77.8,155.01222222746998
56,Male,91.6,111.8,48.2,282.0280353198458
45,Male,85.3,239.1,76.7,384.1135062285156
18,Female,60.5,257.2,43.2,244.0133571342732
22,Female,83.2,316.8,55.3,213.22589078198965
59,Male,49.6,162.3,34.4,187.87597937130334
39,Female,46.4,172.0,61.9,279.54337708178565
53,Male,72.0,202.7,56.0,370.8604205468516
63,Female,82.3,198.9,60.3,92.9972217420265
30,Male,79.2,241.7,22.8,15.910408525162918
18,Male,97.9,226.1,10.2,467.75376808617256
33,Female,76.3,182.4,27.3,101.84376948186478
58,Female,73.7,195.1,60.0,78.79844348599143
39,Male,88.9,246.7,63.5,248.92803439811047
49,Female,70.5,136.7,72.6,103.30238029152817
33,Male,79.7,188.3,41.9,0.0
32,Male,80.4,227.7,54.2,334.72982010431946
63,Male,63.3,146.7,36.0,339.72827716774646
59,Male,79.6,23.0,77.3,56.62230650553595
29,Male,101.2,272.3,35.8,203.03519490816822
18,Male,88.6,199.0,73.6,72.22581960835014
34,Male,64.9,137.1,45.0,95.13428389616034
58,Male,103.1,246.0,81.5,130.18594423490023
45,Female,83.3,189.6,53.7,202.019215701115
24,Female,80.1,148.3,53.2,284.28173733285473
26,Male,73.8,218.5,34.9,133.90364157699165
39,Male,83.2,202.6,93.3,350.4318887230584
43,Male,76.3,169.3,69.8,317.78156027733024
29,Female,75.2,161.5,60.2,0.0
24,Male,73.4,148.7,54.8,14.569033460531742
63,Male,86.7,236.8,36.8,497.24870320117105
64,Male,85.4,137.6,63.5,144.8215326212161
32,Female,73.2,160.1,48.7,198.60898554108627
55,Female,56.8,205.1,51.2,155.50657759361667
38,Female,75.4,272.9,67.8,0.0
31,Male,66.4,206.6,55.7,100.91652325120099
19,Male,69.3,229.4,50.4,328.4672323531665
25,Female,73.5,205.1,78.7,49.14688680610645
62,Male,62.3,245.3,33.6,165.6140761125634
23,Female,55.7,296.9,16.9,27.420518036989087
54,Female,78.5,178.1,34.1,54.24664415056239
54,Male,75.3,200.7,53.0,117.15302601789215
50,Male,74.9,208.7,63.9,0.0
58,Male,81.1,226.5,35.1,396.5369243261309
23,Male,67.1,206.6,123.7,13.445513683944549
43,Female,79.0,172.8,53.6,136.31523767459302
56,Female,91.0,199.6,53.0,62.19028266797669
58,Female,71.9,321.6,24.2,270.93916979093797
54,Female,97.8,215.7,21.1,26.767375267923274
31,Female,75.6,104.5,14.3,66.41325329980866
54,Female,64.8,180.3,77.4,17.277119197570705
25,Male,85.2,200.7,74.2,0.0
56,Female,73.6,193.0,50.0,171.93813216582234
30,Male,87.6,196.6,25.7,200.98802101326916
30,Male,80.0,214.3,44.4,224.27228164446373
57,Female,71.1,225.4,78.4,203.13430095984742
60,Female,93.3,212.9,39.9,135.25484543844016
45,Male,69.0,247.5,32.0,150.76522255671958
35,Male,49.0,125.2,42.4,230.10791544702016
36,Female,85.6,187.4,44.1,90.89837843390885
55,Female,79.2,221.7,64.8,286.28041235576313
49,Male,90.4,212.8,5.9,169.2176005698065
39,Female,64.4,167.4,53.4,117.15136426228278
19,Female,72.0,173.4,36.1,224.23390250885637
30,Female,70.7,157.9,39.3,381.89835864813716
40,Female,86.2,248.8,65.1,38.466774632974065
42,Female,82.8,107.4,24.0,30.553771032252946
45,Male,77.6,135.9,53.6,188.0614723427234
28,Female,77.7,220.9,59.6,82.06781894347566
50,Female,61.2,227.2,61.6,237.04344632286188
41,Male,84.2,120.8,64.1,219.76924870765498
19,Male,84.5,231.3,61.4,51.53559260915038
47,Female,102.5,209.0,64.4,213.7723747054936
34,Female,80.6,225.8,32.4,289.9744833278773
57,Male,82.6,203.6,77.3,95.84855382150914
51,Female,80.7,221.3,26.3,167.42174109150886
55,Female,66.6,223.0,57.4,0.0
39,Female,90.0,223.6,36.4,103.42528349595659
22,Male,74.3,212.2,15.6,248.66157366721146
57,Female,72.7,195.7,38.6,137.592158205957
33,Female,73.4,196.0,47.6,167.53790075690574
30,Male,74.2,211.5,77.7,94.7453668142702
43,Female,69.2,241.3,86.4,238.13773200805917
48,Female,77.6,298.2,47.4,100.34945214359911
56,Female,73.8,226.4,22.2,29.466461777091872
40,Female,72.8,218.9,23.9,127.82903209934142
29,Male,80.9,260.8,65.4,302.82606765738734
31,Male,75.9,219.8,64.2,249.8420205814721
35,Female,68.4,147.0,37.9,88.76634301399189
44,Female,65.8,163.3,26.5,265.3415048732252
45,Female,76.2,291.4,69.8,128.20864825717896
35,Female,66.0,164.3,25.4,0.0
33,Male,65.2,228.5,41.1,257.96082317612246
33,Male,65.3,150.6,59.5,200.41379870521217
30,Male,78.1,264.2,10.0,183.1144427832253
46,Female,89.3,177.0,69.1,198.27521455845437
26,Female,79.2,204.1,97.6,99.17360843194086
43,Female,85.6,188.6,52.3,117.68721908258419
45,Male,74.2,225.2,49.3,30.08695361609751
58,Male,76.7,208.6,50.9,134.683420147727
30,Male,94.8,245.5,54.5,213.34232936852825
53,Male,84.9,232.8,35.4,111.35664842934452
26,Male,86.2,214.1,27.5,0.0
64,Female,71.8,232.6,42.9,191.53751158374223
31,Female,74.9,235.0,53.1,176.53209553822367
29,Female,79.9,180.1,30.0,232.75632406183385
49,Male,67.7,176.3,23.1,79.0638261050987
55,Female,46.6,277.6,41.2,144.25025737144688
20,Female,79.8,235.3,23.3,148.13498789567302
33,Male,86.5,220.2,63.4,254.00684748480498
37,Male,75.7,159.9,-18.8,283.28494726509064
49,Male,67.8,110.6,26.6,11.57735528363475
40,Female,71.0,185.4,78.3,341.3947385734748
34,Male,50.7,177.4,45.6,39.82899677619438
33,Female,71.0,184.5,53.7,0.0
55,Female,61.6,242.6,47.4,0.0
25,Male,66.6,276.4,37.5,312.55561554751483
36,Female,61.0,255.5,71.9,315.0682750225484
47,Male,59.6,169.7,38.6,111.52411323851953
51,Male,63.0,226.9,33.4,0.0
31,Female,82.6,175.6,63.1,202.78637391148752
39,Female,68.9,107.9,11.4,21.48665390660459
61,Female,61.7,196.2,44.3,220.56501276032273
34,Male,84.0,263.0,39.6,82.81859358575748
32,Female,76.5,183.3,43.9,94.74021912459449
49,Male,46.6,241.7,40.2,268.62390222743323
30,Male,86.9,166.7,57.5,268.0934121528638
38,Female,75.9,234.4,72.0,130.21828328239266
57,Female,84.2,187.8,59.2,244.95726352642237
50,Female,72.3,276.2,43.3,267.68071557834264
44,Female,94.3,184.3,62.6,351.3352929604489
52,Male,70.4,172.9,65.0,177.85150141717534
33,Female,43.4,273.6,57.2,147.94645342184558
45,Male,64.3,171.2,71.0,390.3315529131615
51,Female,81.0,210.6,3.1,68.66755702536841
64,Female,76.9,171.5,50.5,103.46520563198732
18,Female,73.5,246.2,56.2,131.17068639519704
58,Male,63.2,264.8,20.4,201.22815479482043
48,Female,75.2,166.3,54.4,105.68329047178406
53,Male,74.8,227.3,68.3,82.52472890654187
61,Female,74.7,232.0,45.5,199.67864331991473
50,Female,81.5,206.3,63.1,114.48389662949317
50,Male,77.2,276.3,70.5,240.44819470467988
56,Male,72.0,275.9,76.8,193.113541953546
35,Female,63.0,157.4,73.2,174.03999132079406
40,Female,91.3,260.4,77.3,182.23959073746687
40,Male,98.8,225.3,40.0,155.482435899913
32,Female,95.9,212.2,42.2,89.62765646640084
43,Male,83.4,188.4,0.5,182.4718699773759
47,Female,54.9,125.9,28.7,37.662782831753276
42,Male,53.4,214.2,74.4,89.54192528224749
62,Male,68.4,215.4,37.9,301.6510695629724
33,Male,74.3,299.7,58.0,230.23146921930402
56,Male,73.9,166.3,54.8,66.9829310412655
62,Male,77.3,119.6,74.8,202.83843318995153
31,Female,58.3,141.0,9.6,0.0
34,Female,94.3,279.6,57.1,132.1906450370838
29,Female,93.1,177.6,56.7,109.21722015193416
46,Female,59.3,268.2,32.8,349.13764594471894
49,Female,52.7,200.3,69.2,182.4656189224027
41,Female,73.9,151.3,22.0,56.322050230936085
30,Female,90.1,300.1,71.3,48.57306976505059
37,Female,74.6,265.9,6.9,219.1030854171971
32,Female,78.1,191.0,31.9,231.6443525793558
21,Male,69.7,249.8,47.2,411.7944489609613
51,Male,76.8,206.2,54.4,339.4579989776604
45,Female,86.3,221.9,12.6,209.71539946230214
19,Male,79.9,288.1,70.9,389.2656606019116
64,Female,81.9,124.0,65.1,151.84219637391234
47,Male,55.0,182.1,88.1,210.9154286575294
43,Male,100.7,201.5,64.0,37.261263637774164
64,Male,55.2,216.7,35.3,405.7401558821515
43,Female,76.9,137.6,28.6,139.64830738498176
37,Female,73.2,245.8,41.6,146.65350789553318
59,Female,73.7,142.3,93.6,73.06468659870207
45,Female,85.4,137.5,51.0,297.4900878545312
37,Male,66.5,187.5,51.8,313.27479481958756
28,Female,69.8,294.8,77.6,49.518859628789215
27,Male,61.2,327.1,26.7,275.8287294495968
40,Female,88.5,224.4,60.8,224.4040024596269
54,Male,78.2,188.1,60.3,33.587564079091
58,Male,82.6,207.8,69.1,311.46794971325255
36,Male,84.7,216.7,67.0,257.1281985872212
62,Male,98.9,273.3,48.8,283.0266039649078
35,Female,96.8,139.1,22.3,330.3934924103277
44,Female,78.9,259.7,38.7,446.76294137817496
23,Male,76.9,128.7,66.8,376.92572312522526
27,Female,68.6,176.0,87.1,192.55349598090655
19,Female,83.9,199.9,25.5,205.1799310262046
41,Male,83.5,220.6,24.2,239.22632363654415
55,Female,66.2,199.8,18.5,387.40395665440934
45,Female,83.6,208.8,34.7,148.0116522211895
45,Female,87.1,202.0,69.0,96.62045848834342
62,Male,61.5,124.0,76.3,255.5181995121351
56,Female,77.3,228.8,8.4,323.13132233018996
19,Male,74.2,240.6,25.9,76.30848731332993
63,Male,74.9,267.1,22.2,106.15172247382634
22,Male,63.6,292.4,32.6,108.63812178185088
28,Female,53.1,220.5,45.6,24.5909457527962
27,Female,65.9,270.6,42.1,48.60967842994544
60,Female,64.3,200.9,60.3,207.8596760266872
19,Male,79.2,127.5,11.5,211.42723165082361
32,Female,79.4,248.1,39.6,19.306904915383743
56,Male,78.8,237.0,77.3,316.2167039836553
58,Female,58.2,200.0,78.1,173.10665068179478
54,Male,61.6,196.9,83.3,366.9340598391984
24,Female,67.6,223.9,57.9,92.24937786336842
37,Female,75.3,183.1,36.9,25.95376859623572
51,Female,71.0,222.1,53.5,204.68553587634
52,Male,78.7,153.9,100.6,305.06494342824294
